article_id,expr_type,value,offset
945.txt,year,1337,888
945.txt,year,2003,1212
945.txt,year,1993,1330
945.txt,part-relative-year/month/week,duchy last year,1224
789.txt,part-relative-year/month/week,stay six months,270
789.txt,part-relative-year/month/week,stay a year,461
789.txt,part-relative-year/month/week,than six months,1033
789.txt,part-relative-year/month/week,last 10 years,1636
789.txt,part-relative-year/month/week,for six months,2154
951.txt,dayofweek,Tuesday,518
951.txt,year,2003,911
206.txt,month,May,95
206.txt,month,May,595
206.txt,month,January,652
206.txt,month,May,751
206.txt,month,May,923
206.txt,month,May,1422
206.txt,month,May,1446
206.txt,month,May,1610
206.txt,year,2007,1099
206.txt,part-relative-year/month/week,merge two years,463
206.txt,part-relative-year/month/week,of this year,908
560.txt,decade,the 1940s,5934
560.txt,relative-year/month/week,this year,3908
560.txt,part-relative-year/month/week,released last year,4107
560.txt,part-relative-year/month/week,of six years,9091
212.txt,dayofweek,Monday,477
212.txt,year,1875,654
212.txt,year,2008,810
212.txt,year,2006,1155
548.txt,month,July,265
548.txt,dayofweek,Saturday,71
548.txt,dayofweek,Saturday,387
548.txt,year,2005,815
548.txt,part-relative-year/month/week,for next year,852
1751.txt,month,July,4038
1751.txt,month,January,4238
1751.txt,day-month,30 November,426
1751.txt,part-relative-year/month/week,were 30 years,1680
1023.txt,year,1970,3695
1023.txt,year,2001,3875
1023.txt,year,2001,3896
1023.txt,part-relative-year/month/week,done six months,1526
1745.txt,year,2005,1302
1745.txt,year,2002,2201
1745.txt,year,2005,2566
1745.txt,part-relative-year/month/week,closer this year,192
1745.txt,part-relative-year/month/week,in recent months,611
1779.txt,part-relative-year/month/week,April this year,1495
1009.txt,year,2001,571
1009.txt,year,2002,577
1009.txt,year,2003,586
1009.txt,year,2001,1312
1009.txt,year,2003,1321
1009.txt,part-relative-year/month/week,the four months,2331
1035.txt,month,April,155
1035.txt,dayofweek,Thursday,777
1035.txt,year,1970,1282
1035.txt,part-relative-year/month/week,will end years,1214
1035.txt,part-relative-year/month/week,in recent years,2678
1753.txt,month,September,2029
1753.txt,month,October,2604
1753.txt,year,2005,1484
1753.txt,year,2006,2969
1753.txt,year,1976,4124
1753.txt,year,1993,4352
1753.txt,month-year,June 2002,1941
1753.txt,part-relative-year/month/week,every six months,507
1753.txt,part-relative-year/month/week,completed next year,4286
1747.txt,year,2005,43
1747.txt,year,2000,1558
1021.txt,month,July,141
1021.txt,day-month,11 March,90
238.txt,day-month,10 February,626
562.txt,month,April,2172
562.txt,dayofweek,Sunday,105
562.txt,dayofweek,Sunday,2345
562.txt,relative-year/month/week,For years,445
562.txt,part-relative-year/month/week,from their weekend,757
204.txt,dayofweek,Thursday,3407
204.txt,dayofweek,Saturday,3549
210.txt,dayofweek,Monday,641
210.txt,dayofweek,Thursday,2173
210.txt,year,2001,863
210.txt,year,2004,1716
210.txt,year,2003,1908
210.txt,part-relative-year/month/week,in recent months,1590
210.txt,part-relative-year/month/week,spent two years,1665
210.txt,part-relative-year/month/week,bought last month,1977
576.txt,dayofweek,Wednesday,3273
576.txt,dayofweek,Thursday,3994
576.txt,year,2004,781
576.txt,year,2004,3624
576.txt,year,2004,3695
576.txt,year,2004,3850
576.txt,year,2004,3933
576.txt,year,1995,10297
576.txt,year,1980,15411
576.txt,decade,the 80s,7222
576.txt,part-of-decade,the late 80s,8998
576.txt,part-relative-year/month/week,past 25 years,459
576.txt,part-relative-year/month/week,us a year,623
576.txt,part-relative-year/month/week,mark 25 years,2630
576.txt,part-relative-year/month/week,of last year,3749
576.txt,part-relative-year/month/week,last 25 years,4040
576.txt,part-relative-year/month/week,in 25 years,4326
576.txt,part-relative-year/month/week,last 25 years,4699
576.txt,part-relative-year/month/week,last 25 years,4942
576.txt,part-relative-year/month/week,last 25 years,5443
576.txt,part-relative-year/month/week,last 25 years,5636
576.txt,part-relative-year/month/week,last 25 years,5717
576.txt,part-relative-year/month/week,last 25 years,5809
576.txt,part-relative-year/month/week,last 25 years,6155
576.txt,part-relative-year/month/week,last 25 years,6434
576.txt,part-relative-year/month/week,than 5 years,6478
576.txt,part-relative-year/month/week,last 25 years,6683
576.txt,part-relative-year/month/week,past 25 years,6880
576.txt,part-relative-year/month/week,last 25 years,7140
576.txt,part-relative-year/month/week,past five years,8926
576.txt,part-relative-year/month/week,past 25 years,9207
576.txt,part-relative-year/month/week,Last five years,10159
576.txt,part-relative-year/month/week,an eleven year,10513
576.txt,part-relative-year/month/week,last 25 years,10615
576.txt,part-relative-year/month/week,last 25 years,10701
576.txt,part-relative-year/month/week,past 25 years,11204
576.txt,part-relative-year/month/week,last 25 years,11454
576.txt,part-relative-year/month/week,last 25 years,11626
576.txt,part-relative-year/month/week,past 25 years,12110
576.txt,part-relative-year/month/week,at this years,12233
576.txt,part-relative-year/month/week,last 25 years,12308
576.txt,part-relative-year/month/week,last 25 years,12579
576.txt,part-relative-year/month/week,last 25 years,12933
576.txt,part-relative-year/month/week,in 25 years,13370
576.txt,part-relative-year/month/week,past 25 years,13977
576.txt,part-relative-year/month/week,last 25 years,14965
576.txt,part-relative-year/month/week,last 25 years,15323
576.txt,part-relative-year/month/week,in 25 years,15392
576.txt,part-relative-year/month/week,last 25 years,16090
576.txt,part-relative-year/month/week,in 25 years,16363
576.txt,part-relative-year/month/week,past 25 years,16962
576.txt,part-relative-year/month/week,for many years,18195
576.txt,part-relative-year/month/week,last 25 years,18942
947.txt,dayofweek,Tuesday,2041
947.txt,year,1925,1786
947.txt,part-relative-year/month/week,within four years,313
953.txt,dayofweek,Wednesday,949
953.txt,dayofweek,Monday,1275
953.txt,dayofweek,Tuesday,1589
1579.txt,part-relative-year/month/week,earlier this month,1349
1237.txt,month,August,611
1237.txt,dayofweek,Monday,130
1237.txt,year,2004,78
1237.txt,year,2005,641
1237.txt,day-month,12 January,679
1237.txt,part-relative-year/month/week,of the year,62
1237.txt,part-relative-year/month/week,the best year,169
1237.txt,part-relative-year/month/week,of the year,304
1237.txt,part-relative-year/month/week,of the year,443
1237.txt,part-relative-year/month/week,of the year,539
1237.txt,part-relative-year/month/week,start next year,990
1223.txt,dayofweek,Wednesday,242
1223.txt,part-relative-year/month/week,of the year,223
1223.txt,part-relative-year/month/week,for three months,865
1223.txt,part-relative-year/month/week,cup this year,1255
1545.txt,part-relative-year/month/week,serve nine years,297
1545.txt,part-relative-year/month/week,sentenced next year,500
1545.txt,part-relative-year/month/week,all these years,1036
1545.txt,part-relative-year/month/week,for 15 years,1309
984.txt,dayofweek,Monday,1861
984.txt,month-year,December 2001,1680
748.txt,decade,the 1980s,420
748.txt,part-of-decade,the late 1990s,1934
748.txt,part-relative-year/month/week,earlier this year,1386
990.txt,month,November,397
990.txt,month,November,2594
990.txt,year,2005,715
990.txt,part-relative-year/month/week,in four years,677
1592.txt,part-relative-year/month/week,earlier this month,1349
760.txt,dayofweek,Sunday,1886
760.txt,dayofweek,Sunday,2847
760.txt,year,1993,1149
760.txt,year,1200,2871
760.txt,day-month,12 December,2855
760.txt,month-year,December 1979,741
760.txt,part-of-decade,the early 1990s,996
760.txt,part-relative-year/month/week,is 25 years,147
760.txt,part-relative-year/month/week,of 12 years,175
760.txt,part-relative-year/month/week,March this year,496
774.txt,relative-year/month/week,three year,1823
774.txt,part-relative-year/month/week,least five years,1879
1586.txt,year,2003,298
1586.txt,year,2001,331
73.txt,year,2003,426
73.txt,part-relative-year/month/week,contract last year,379
833.txt,dayofweek,Saturday,497
833.txt,dayofweek,Friday,1325
67.txt,month,December,783
67.txt,dayofweek,Wednesday,197
67.txt,year,2004,966
67.txt,month-year,June 1966,1072
67.txt,part-relative-year/month/week,the same year,505
67.txt,part-relative-year/month/week,for the year,752
67.txt,part-relative-year/month/week,than 40 years,1199
199.txt,year,2005,160
199.txt,year,2004,326
199.txt,year,1218,585
199.txt,year,2005,816
199.txt,year,2005,833
199.txt,relative-year/month/week,last year,75
199.txt,relative-year/month/week,difficult year,493
199.txt,part-relative-year/month/week,an important year,851
199.txt,part-relative-year/month/week,several disappointing years,1220
1425.txt,dayofweek,Tuesday,2526
1425.txt,year,2003,480
1425.txt,year,1998,1838
1343.txt,month,August,632
1343.txt,year,2000,999
1343.txt,year,1998,1710
1343.txt,part-relative-year/month/week,for 24 years,1278
1357.txt,dayofweek,Thursday,93
1357.txt,year,1998,540
1357.txt,year,2006,566
1357.txt,year,1986,1105
1357.txt,year,1986,1317
9.txt,year,2006,2006
9.txt,year,1997,2946
9.txt,year,1999,3860
9.txt,month-year,April 2005,1963
9.txt,relative-year/month/week,a year,617
9.txt,relative-year/month/week,this year,3081
9.txt,part-relative-year/month/week,bankruptcy for months,3568
1431.txt,dayofweek,Sun,199
1431.txt,dayofweek,Saturday,1005
1431.txt,year,2003,508
1431.txt,year,2005,950
1431.txt,part-relative-year/month/week,for next month,381
1431.txt,part-relative-year/month/week,of the year,990
628.txt,month,January,1047
628.txt,dayofweek,Wednesday,991
628.txt,year,2002,474
628.txt,part-relative-year/month/week,to 18 years,717
628.txt,part-relative-year/month/week,prison last year,732
628.txt,part-relative-year/month/week,Earlier this year,770
172.txt,month,December,256
172.txt,month,December,911
172.txt,month,January,1186
172.txt,dayofweek,Friday,872
172.txt,year,2004,84
172.txt,year,2002,396
172.txt,year,2005,761
172.txt,part-relative-year/month/week,the three months,236
172.txt,part-relative-year/month/week,the full year,428
1380.txt,year,2005,786
614.txt,dayofweek,Friday,132
614.txt,dayofweek,Sunday,644
614.txt,dayofweek,Sunday,1992
614.txt,year,0900,205
614.txt,year,1984,684
614.txt,year,1985,1463
614.txt,year,1984,2101
614.txt,part-relative-year/month/week,become this year,2029
600.txt,dayofweek,Saturday,601
98.txt,month,January,537
98.txt,month-year,September 2002,574
98.txt,month-year,April 2005,724
98.txt,part-relative-year/month/week,200 a year,805
98.txt,part-relative-year/month/week,current tax year,1560
98.txt,part-relative-year/month/week,than ten years,3539
166.txt,month,January,1736
166.txt,year,2003,86
166.txt,relative-year/month/week,Last year,563
166.txt,part-relative-year/month/week,occupation four years,252
166.txt,part-relative-year/month/week,created last year,400
166.txt,part-relative-year/month/week,of this year,497
166.txt,part-relative-year/month/week,950m a year,1374
1141.txt,month,May,598
1141.txt,part-relative-year/month/week,following six years,602
1627.txt,year,2005,678
1627.txt,year,2005,1549
1627.txt,year,2005,1939
1627.txt,month-year,December 2003,353
1627.txt,month-year,October 2004,589
1627.txt,part-relative-year/month/week,for the year,750
1627.txt,part-relative-year/month/week,in the year,1246
1627.txt,part-relative-year/month/week,the previous year,1832
1633.txt,part-relative-year/month/week,watchers last month,117
1155.txt,dayofweek,Sunday,99
1155.txt,dayofweek,Sunday,861
1155.txt,year,2005,758
1155.txt,part-relative-year/month/week,her impressive year,63
1155.txt,part-relative-year/month/week,earlier this year,213
358.txt,dayofweek,Thursday,156
358.txt,dayofweek,Thursday,337
358.txt,dayofweek,Sunday,1278
358.txt,dayofweek,Wednesday,1384
358.txt,dayofweek,Sunday,2161
358.txt,day-month,19 December,451
358.txt,part-relative-year/month/week,October last year,2623
416.txt,month,September,2325
416.txt,year,2004,97
416.txt,year,2004,2676
1182.txt,part-relative-year/month/week,for next year,325
1182.txt,part-relative-year/month/week,of the year,367
1182.txt,part-relative-year/month/week,under this year,489
1182.txt,part-relative-year/month/week,of the year,1938
1182.txt,part-relative-year/month/week,into next year,1997
370.txt,part-relative-year/month/week,the last year,300
364.txt,month,November,176
364.txt,month,November,1823
364.txt,month,November,2306
364.txt,year,1650,642
364.txt,year,3280,698
364.txt,year,8923,822
364.txt,part-relative-year/month/week,past three years,1553
364.txt,part-relative-year/month/week,7bn the month,2330
364.txt,part-relative-year/month/week,than four years,2404
1196.txt,dayofweek,Friday,33
1196.txt,year,2000,54
1196.txt,day-month,25 February,41
402.txt,year,2003,379
402.txt,day-month,30 November,251
402.txt,month-year,December 2004,1276
402.txt,month-year,April 2005,1293
402.txt,part-relative-year/month/week,the three months,231
402.txt,part-relative-year/month/week,period last year,292
402.txt,part-relative-year/month/week,of the year,539
402.txt,part-relative-year/month/week,our fiscal year,1001
402.txt,part-relative-year/month/week,period last year,1375
365.txt,month,April,253
365.txt,month,January,403
365.txt,month,November,476
365.txt,month,January,722
365.txt,part-relative-year/month/week,only two months,320
365.txt,part-relative-year/month/week,the last year,761
403.txt,month,December,136
403.txt,dayofweek,Friday,514
403.txt,year,2000,1079
403.txt,year,2003,1088
403.txt,year,2003,1578
403.txt,year,2005,1821
403.txt,relative-year/month/week,639m year,152
403.txt,part-relative-year/month/week,the three months,116
403.txt,part-relative-year/month/week,contrast to year,1398
1197.txt,month,February,344
1197.txt,month,March,450
1197.txt,month,January,1307
1197.txt,year,2000,561
1197.txt,part-relative-year/month/week,of last year,264
1183.txt,month,July,115
1183.txt,month,July,767
1183.txt,month,March,804
1183.txt,month,July,1250
1183.txt,month,July,1292
1183.txt,dayofweek,Wednesday,162
1183.txt,day-month,25 June,1275
1183.txt,day-month,10 January,1358
1183.txt,part-relative-year/month/week,earlier this month,551
417.txt,dayofweek,Friday,155
417.txt,year,1950,1071
417.txt,year,2004,1241
417.txt,part-relative-year/month/week,than 56 years,1179
371.txt,year,2009,981
371.txt,year,1973,1440
371.txt,part-relative-year/month/week,a 25 year,959
371.txt,part-relative-year/month/week,over recent years,1224
359.txt,month,December,845
359.txt,month-year,February 16,1361
1154.txt,month,September,761
1154.txt,dayofweek,Sunday,75
1154.txt,dayofweek,Sunday,1492
1154.txt,dayofweek,Sunday,1842
1154.txt,dayofweek,Sunday,2279
1154.txt,year,2003,226
1154.txt,day-month,21 November,1419
1140.txt,month,January,626
1140.txt,month,January,1352
1140.txt,month,January,2080
99.txt,year,1993,1789
99.txt,year,1998,2035
99.txt,month-year,November 2003,841
99.txt,month-year,October 2002,961
99.txt,month-year,January 2003,1107
99.txt,part-relative-year/month/week,a nine month,368
99.txt,part-relative-year/month/week,cancelled last year,596
99.txt,part-relative-year/month/week,in recent years,1923
1395.txt,month,December,685
1395.txt,dayofweek,Sunday,86
1395.txt,dayofweek,Friday,184
1395.txt,dayofweek,Wednesday,402
1395.txt,year,1998,819
601.txt,dayofweek,Sunday,414
601.txt,relative-year/month/week,Last year,1421
601.txt,part-relative-year/month/week,dominated this year,58
601.txt,part-relative-year/month/week,their 20th year,474
167.txt,dayofweek,Wednesday,491
167.txt,year,2007,366
167.txt,year,2001,597
167.txt,year,1999,2662
167.txt,year,1999,3041
167.txt,relative-year/month/week,Last year,653
167.txt,relative-year/month/week,Last year,2810
167.txt,relative-year/month/week,Last year,3075
167.txt,part-relative-year/month/week,than four years,39
167.txt,part-relative-year/month/week,000 last year,391
167.txt,part-relative-year/month/week,models a year,1004
167.txt,part-relative-year/month/week,10 five years,2614
167.txt,part-relative-year/month/week,During that year,2757
173.txt,month,December,1376
173.txt,dayofweek,Wednesday,167
173.txt,dayofweek,Tuesday,965
173.txt,year,2004,100
173.txt,year,2004,225
173.txt,year,2003,266
173.txt,year,2004,413
173.txt,year,1947,603
173.txt,year,2004,689
173.txt,year,2004,1021
173.txt,year,2004,1217
173.txt,part-relative-year/month/week,the coming years,944
173.txt,part-relative-year/month/week,on a year,1408
615.txt,dayofweek,Friday,1126
615.txt,dayofweek,Saturday,1156
615.txt,dayofweek,Sunday,1210
615.txt,dayofweek,Sunday,1301
615.txt,day-month,28 August,482
615.txt,part-relative-year/month/week,in this year,504
615.txt,part-relative-year/month/week,in 23 years,1040
1381.txt,part-relative-year/month/week,have 100 years,681
1381.txt,part-relative-year/month/week,for five years,766
629.txt,dayofweek,Thursday,165
629.txt,dayofweek,Thursday,879
629.txt,part-relative-year/month/week,after 12 years,362
629.txt,part-relative-year/month/week,Award this year,687
629.txt,part-relative-year/month/week,festival this year,1242
1356.txt,month,December,5291
1356.txt,year,1900,102
1356.txt,year,2007,3251
1356.txt,year,2004,5108
1356.txt,month-year,July 1998,922
1356.txt,part-relative-year/month/week,next few months,5582
1356.txt,part-relative-year/month/week,Steve last year,5687
1430.txt,dayofweek,Tuesday,170
1430.txt,month-year,October 2002,622
1430.txt,part-relative-year/month/week,after two years,87
1430.txt,part-relative-year/month/week,Only last year,671
8.txt,dayofweek,Tuesday,1031
8.txt,year,1998,1588
8.txt,year,2002,1597
8.txt,relative-year/month/week,Last month,1725
8.txt,part-relative-year/month/week,to seven years,1000
8.txt,part-relative-year/month/week,euros a year,1496
1342.txt,year,2005,140
1342.txt,day-month,18 February,726
1342.txt,part-relative-year/month/week,win four years,355
826.txt,dayofweek,Thursday,140
826.txt,dayofweek,Thursday,583
826.txt,relative-year/month/week,A year,515
826.txt,part-relative-year/month/week,the last year,372
826.txt,part-relative-year/month/week,the past year,648
826.txt,part-relative-year/month/week,previous four years,774
66.txt,dayofweek,Monday,582
66.txt,dayofweek,Friday,1661
66.txt,year,2000,1907
66.txt,relative-year/month/week,A weekend,1078
198.txt,part-relative-year/month/week,in three months,410
1418.txt,month,February,1444
1418.txt,dayofweek,Tuesday,372
832.txt,part-relative-year/month/week,issue next year,3078
72.txt,year,2010,752
72.txt,part-relative-year/month/week,next five years,128
72.txt,part-relative-year/month/week,ISG next month,259
72.txt,part-relative-year/month/week,formed last year,881
1587.txt,month,September,2410
1593.txt,part-relative-year/month/week,of last year,1573
1593.txt,part-relative-year/month/week,last big year,2118
1593.txt,part-relative-year/month/week,Korea next year,3150
1593.txt,part-relative-year/month/week,proving this year,3245
1593.txt,part-relative-year/month/week,on this year,3837
761.txt,dayofweek,Sunday,277
761.txt,part-relative-year/month/week,within five years,497
749.txt,month,June,1625
749.txt,dayofweek,Thursday,842
749.txt,part-relative-year/month/week,came after months,1392
749.txt,part-relative-year/month/week,communicator with years,4490
985.txt,month,November,844
985.txt,dayofweek,Monday,2706
985.txt,year,2003,2391
985.txt,year,2007,2455
985.txt,relative-year/month/week,half years,747
985.txt,part-relative-year/month/week,the previous month,1013
985.txt,part-relative-year/month/week,the same month,1036
985.txt,part-relative-year/month/week,for 17 years,1089
985.txt,part-relative-year/month/week,for five years,2497
985.txt,part-relative-year/month/week,and eight months,2512
985.txt,part-relative-year/month/week,past five years,3295
985.txt,part-relative-year/month/week,and eight months,3311
1544.txt,year,2005,157
1544.txt,year,2005,2325
1544.txt,year,6230,3128
1544.txt,part-relative-year/month/week,out for months,361
1544.txt,part-relative-year/month/week,themes this year,851
1544.txt,part-relative-year/month/week,later this year,4348
1550.txt,month,March,2024
1550.txt,month,April,2044
1550.txt,day-month,17 February,2867
1550.txt,relative-year/month/week,a month,1483
1550.txt,part-relative-year/month/week,released this year,768
1236.txt,month,January,578
1236.txt,day-month,28 December,233
952.txt,month,April,2397
952.txt,month,January,2410
952.txt,year,2005,2711
952.txt,part-relative-year/month/week,of the year,679
952.txt,part-relative-year/month/week,the coming months,2231
1578.txt,part-relative-year/month/week,home each month,1770
1578.txt,part-relative-year/month/week,pages per month,1911
946.txt,relative-year/month/week,This year,1384
946.txt,part-relative-year/month/week,the past year,253
946.txt,part-relative-year/month/week,policy six years,389
946.txt,part-relative-year/month/week,to 62 months,643
946.txt,part-relative-year/month/week,by three months,695
946.txt,part-relative-year/month/week,than last year,1429
946.txt,part-relative-year/month/week,last 12 months,1902
211.txt,year,2004,305
577.txt,year,1980,426
577.txt,decade,the 1970s,1430
577.txt,part-relative-year/month/week,earlier this year,877
563.txt,dayofweek,Wednesday,495
563.txt,year,1997,815
563.txt,part-relative-year/month/week,earlier this month,1794
205.txt,dayofweek,Thursday,1897
205.txt,dayofweek,Wednesday,3357
205.txt,part-relative-year/month/week,1bn a year,3160
239.txt,month,November,819
239.txt,year,2001,415
239.txt,part-relative-year/month/week,took 15 years,420
239.txt,part-relative-year/month/week,for 10 years,496
1746.txt,month,January,407
1746.txt,year,2010,1976
1020.txt,month,January,412
1020.txt,month,May,1445
1020.txt,dayofweek,Sunday,234
1020.txt,dayofweek,Sunday,251
1020.txt,year,1974,477
1020.txt,month-year,February 2005,99
1020.txt,month-year,June 2001,1475
1020.txt,part-relative-year/month/week,in the year,627
1020.txt,part-relative-year/month/week,then four years,911
1034.txt,dayofweek,Monday,758
1034.txt,year,2008,2188
1034.txt,year,2011,2280
1034.txt,year,2012,2288
1752.txt,month,February,547
1752.txt,month,December,1670
1752.txt,year,2005,653
1752.txt,year,2004,1478
1752.txt,part-relative-year/month/week,opens this weekend,1123
588.txt,dayofweek,Monday,302
588.txt,dayofweek,Monday,1139
588.txt,dayofweek,Tuesday,1831
588.txt,dayofweek,Sunday,3124
588.txt,year,1999,746
588.txt,year,0400,1127
588.txt,year,0845,3725
588.txt,year,0800,3743
588.txt,relative-year/month/week,free years,1612
588.txt,part-relative-year/month/week,vows two years,1997
588.txt,part-relative-year/month/week,lamented two years,2918
1008.txt,year,2002,2139
1008.txt,year,1997,2386
1777.txt,dayofweek,Tuesday,2241
1777.txt,day-month,22 January,840
1011.txt,month,May,1728
1011.txt,dayofweek,Friday,279
1011.txt,part-relative-year/month/week,later this year,1587
1011.txt,part-relative-year/month/week,last 29 years,1659
1011.txt,part-relative-year/month/week,in the year,3429
585.txt,month,October,785
585.txt,month,Dec,991
585.txt,year,2004,586
585.txt,year,2004,1018
585.txt,year,2004,1262
585.txt,relative-year/month/week,Last year,1143
585.txt,part-relative-year/month/week,position last year,903
585.txt,part-relative-year/month/week,the past year,945
585.txt,part-relative-year/month/week,32 last year,1129
591.txt,year,2002,491
591.txt,year,3000,549
591.txt,year,2003,778
591.txt,year,2004,839
1005.txt,dayofweek,Sunday,114
1039.txt,month,April,2401
1039.txt,month,January,2414
1039.txt,year,2005,2715
1039.txt,part-relative-year/month/week,of the year,683
1039.txt,part-relative-year/month/week,the coming months,2235
220.txt,year,1984,309
220.txt,year,1996,390
220.txt,year,2002,399
220.txt,month-year,March 2003,1202
546.txt,month,February,1041
546.txt,year,2001,479
546.txt,year,1999,593
552.txt,month,February,492
552.txt,month,May,695
234.txt,month,February,249
234.txt,year,2007,178
234.txt,year,2005,318
234.txt,year,2007,327
234.txt,year,2001,511
234.txt,year,2006,1537
234.txt,day-month,17 December,1863
234.txt,part-relative-year/month/week,past three years,558
234.txt,part-relative-year/month/week,in 30 years,660
234.txt,part-relative-year/month/week,7bn this year,800
234.txt,part-relative-year/month/week,new three year,915
234.txt,part-relative-year/month/week,place next month,1425
208.txt,dayofweek,Monday,1415
208.txt,year,2006,657
208.txt,month-year,January 2003,575
208.txt,part-relative-year/month/week,Earlier this month,1072
208.txt,part-relative-year/month/week,133m a year,1174
787.txt,month,July,463
787.txt,month,September,948
787.txt,dayofweek,Tuesday,220
787.txt,dayofweek,Sunday,432
787.txt,dayofweek,Monday,1061
1213.txt,year,2004,127
1213.txt,year,2000,538
1213.txt,year,1999,573
1213.txt,year,1998,586
1213.txt,part-relative-year/month/week,of last year,216
1213.txt,part-relative-year/month/week,but last year,648
1213.txt,part-relative-year/month/week,the whole year,923
1575.txt,dayofweek,Tuesday,1436
1575.txt,year,2015,778
1561.txt,month,August,923
1561.txt,month,October,1121
1561.txt,dayofweek,Friday,1981
1561.txt,part-relative-year/month/week,some 18 years,520
1561.txt,part-relative-year/month/week,the financial year,982
1561.txt,part-relative-year/month/week,of the year,1663
1561.txt,part-relative-year/month/week,spent the weekend,2042
1207.txt,day-month,19 March,766
1207.txt,day-month,20 March,881
1207.txt,part-relative-year/month/week,title last month,333
793.txt,month,January,641
793.txt,month-year,March 2002,783
793.txt,part-relative-year/month/week,for 33 months,83
793.txt,part-relative-year/month/week,freed last month,2062
793.txt,part-relative-year/month/week,many more years,2249
793.txt,part-relative-year/month/week,lost three years,2564
963.txt,month,April,1901
963.txt,month,September,2882
963.txt,month,November,3183
963.txt,dayofweek,Monday,1727
963.txt,part-relative-year/month/week,based on years,218
963.txt,part-relative-year/month/week,number of years,755
963.txt,part-relative-year/month/week,first six months,1090
963.txt,part-relative-year/month/week,purse drastically year,2534
963.txt,part-relative-year/month/week,to 14 year,2790
1549.txt,relative-year/month/week,four years,837
1549.txt,part-relative-year/month/week,shows a year,1386
1549.txt,part-relative-year/month/week,CD next year,2354
977.txt,month,May,822
977.txt,month,January,1039
977.txt,month,May,2855
977.txt,year,2001,1663
977.txt,day-month,16 March,130
744.txt,month,May,664
744.txt,dayofweek,Thursday,1028
744.txt,dayofweek,Tuesday,1520
750.txt,part-relative-year/month/week,to 24 year,266
988.txt,dayofweek,Thursday,1320
988.txt,year,1947,1066
778.txt,part-relative-year/month/week,betting last year,211
778.txt,part-relative-year/month/week,current two years,571
1367.txt,month,June,183
1367.txt,month,June,525
1367.txt,year,1994,1396
1367.txt,month-year,July 2004,233
1367.txt,part-relative-year/month/week,for three years,278
1367.txt,part-relative-year/month/week,a few months,434
195.txt,dayofweek,Wednesday,792
195.txt,year,2002,324
195.txt,year,2001,885
195.txt,year,2002,894
195.txt,year,2001,1576
195.txt,year,2004,1748
195.txt,part-relative-year/month/week,of 85 years,1643
1401.txt,dayofweek,Tuesday,93
1401.txt,dayofweek,Tuesday,1389
1401.txt,year,1100,241
1401.txt,year,1998,701
1401.txt,month-year,September 2003,421
1415.txt,month,March,172
181.txt,dayofweek,Sunday,180
181.txt,dayofweek,Sunday,201
181.txt,dayofweek,Friday,1053
181.txt,dayofweek,Sunday,1124
181.txt,year,2003,993
1373.txt,dayofweek,Wednesday,215
57.txt,month,February,258
57.txt,year,2005,381
57.txt,year,1830,576
57.txt,year,2001,991
57.txt,day-month,11 September,949
57.txt,part-relative-year/month/week,in recent years,901
57.txt,part-relative-year/month/week,off this year,1245
57.txt,part-relative-year/month/week,48m a year,1459
5.txt,month,December,2071
5.txt,year,2001,403
5.txt,month-year,October 2006,2032
5.txt,part-relative-year/month/week,almost three years,1272
43.txt,month,October,70
43.txt,month,September,432
43.txt,month,October,550
43.txt,month,September,744
43.txt,month,August,791
43.txt,month,October,1649
43.txt,month,August,1780
43.txt,month,September,1791
43.txt,part-relative-year/month/week,two previous months,708
43.txt,part-relative-year/month/week,prices this year,1155
803.txt,month,Jan,525
803.txt,dayofweek,Thursday,273
803.txt,year,2008,2238
630.txt,dayofweek,Sunday,1450
156.txt,year,2005,75
156.txt,year,2006,277
156.txt,year,2005,1199
156.txt,day-month,12 January,792
156.txt,day-month,26 December,905
156.txt,part-relative-year/month/week,than six months,1532
142.txt,dayofweek,Wednesday,315
142.txt,dayofweek,Sunday,1100
142.txt,year,2005,499
142.txt,year,2005,766
142.txt,year,2005,2505
142.txt,part-relative-year/month/week,000 six months,622
142.txt,part-relative-year/month/week,Unlike previous years,1732
142.txt,part-relative-year/month/week,for the weekend,1877
624.txt,part-relative-year/month/week,of the year,921
1398.txt,part-relative-year/month/week,a difficult year,1586
80.txt,year,2004,968
80.txt,part-relative-year/month/week,next 10 years,751
618.txt,day-month,27 February,1315
618.txt,relative-year/month/week,This year,1253
618.txt,part-relative-year/month/week,at this year,124
1603.txt,month,December,465
1603.txt,month,December,1533
1603.txt,month,December,1903
1603.txt,month-year,October 2004,651
1603.txt,part-relative-year/month/week,billions every year,1809
397.txt,month,January,1679
397.txt,part-relative-year/month/week,2005 model years,465
397.txt,part-relative-year/month/week,2004 model year,1004
397.txt,part-relative-year/month/week,2005 model years,1266
397.txt,part-relative-year/month/week,announcement last month,1473
397.txt,part-relative-year/month/week,earnings this year,1513
1165.txt,dayofweek,Sunday,123
1165.txt,dayofweek,Sunday,455
1165.txt,dayofweek,Tuesday,597
1165.txt,dayofweek,Tuesday,762
1165.txt,day-month,17 January,243
383.txt,day-month,28 December,420
383.txt,decade,the 1990s,1241
383.txt,part-relative-year/month/week,in recent months,2122
1617.txt,month,January,2190
1617.txt,month-year,September 2003,629
1617.txt,month-year,September 2004,806
1617.txt,part-relative-year/month/week,than 12 months,281
1617.txt,part-relative-year/month/week,messages per month,883
